"Optode","X","Y","Z"
"S1",44.0994812903226,17.4154912580645,-23.2893401935484
"D1",42.1944183225806,14.8582118709677,-22.0841738387097
"S2",40.9448921935484,13.1666579032258,-20.5404721290323
"D2",40.4087540967742,11.3946453548387,-18.7298906774194
"S3",41.4051001612903,10.023733483871,-17.0834517419355
"D3",42.6970696129032,9.62239103225807,-15.4594052580645
"S4",45.7183524516129,10.0588652258065,-14.0230647096774
"D4",41.73237,17.8253670645161,-23.144003483871
"S5",40.1093678064516,15.1309069677419,-21.6279337096774
"D5",38.8147926129032,12.9183367419355,-19.7870829354839
"S6",38.9478505483871,11.1179317419355,-17.5374911290323
"D6",39.9590158387097,9.88579383870968,-15.858793483871
"S7",41.4309593225806,9.82185664516129,-14.600725483871
"D7",44.0661764516129,9.99765564516129,-13.4292954516129
"S8",41.5244479032258,19.1403080967742,-21.6109892903226
"D8",39.9045897741935,15.8362733548387,-20.6507589354839
"S9",38.0872995483871,13.684783516129,-19.2559754516129
"D9",37.8751075483871,11.7426111612903,-16.9791072258065
"S10",38.7482258064516,10.7344829032258,-15.1813794516129
"D10",40.2357568709677,10.6089373870968,-13.7411074516129
"S11",43.1646319677419,11.1113212258065,-12.2925498064516
